"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_StuffedPeppersBox_DS","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Paprika, gefüllt mit Fleisch, gekocht bis die Aromen gut durchgezogen sind. Ein herzhaftes Gericht, das satt macht und unkompliziert ist.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward.",
"STR_CookZ_StuffedPeppersBox_Opened_DS","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Paprika, gefüllt mit Fleisch, gekocht bis die Aromen gut durchgezogen sind. Ein herzhaftes Gericht, das satt macht und unkompliziert ist. Nach dem Öffnen rasch verzehren.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.","Bell peppers filled with meat and cooked to bring out rich flavors. It’s a hearty dish that’s both filling and straightforward. Eat up before it spoils.",
"STR_CookZ_PommdoenerBox_DN","Pommdoener","Pommdoener","Pommdoener","Pommdöner","Pommdoener","Pommdoener","Pommdoener","Pommdoener","Pommdoener","Pommdoener","Pommdoener","Pommdoener","Pommdoener",
"STR_CookZ_PommdoenerBox_DS","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Pommes mit Dönerfleisch, alles in einer Box. Ein einfaches, solides Gericht, das lecker und sättigend ist.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.",
"STR_CookZ_PommdoenerBox_Opened_DS","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Pommes mit Dönerfleisch, alles in einer Box. Ein einfaches, solides Gericht, das lecker und sättigend ist. Nach dem Öffnen rasch verzehren.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.",
"STR_CookZ_BangersAndMashBox_DN","Bangers And Mash","Bangers And Mash","Bangers And Mash","Bratwürste mit Kartoffelpüree","Bangers And Mash","Bangers And Mash","Bangers And Mash","Bangers And Mash","Bangers And Mash","Bangers And Mash","Bangers And Mash","Bangers And Mash","Bangers And Mash",
"STR_CookZ_BangersAndMashBox_DS","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Bratwürste, serviert mit cremigem Kartoffelpüree. Ein klassisches und einfaches Gericht, das satt macht.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.",
"STR_CookZ_BangersAndMashBox_Opened_DS","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Bratwürste, serviert mit cremigem Kartoffelpüree. Ein klassisches und einfaches Gericht, das satt macht. Nach dem Öffnen rasch verzehren.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.",
"STR_CookZ_CurrywurstBox_DN","Currywurst","Currywurst","Currywurst","Currywurst","Currywurst","Currywurst","Currywurst","Currywurst","Currywurst","Currywurst","Currywurst","Currywurst","Currywurst",
"STR_CookZ_CurrywurstBox_DS","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","Eine Bratwurst, bedeckt mit einer würzigen Currysauce. Ein beliebter, schneller Snack voller Geschmack.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.",
